zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
38858,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.10812263401411412,0.051382482755194143,0.11019634470661462
39730,55,City of Aberdeen - (MS),MS,Bundled,Municipal,0.10812263401411412,0.051382482755194143,0.11019634470661462
70510,59,City of Abbeville - (LA),LA,Bundled,Municipal,0.11018080667593881,0.0861841480778358,0.10430571823156129
21824,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12973977695167285,0,0.12374263706388763
21851,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12973977695167285,0,0.12374263706388763
21866,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12973977695167285,0,0.12374263706388763
21864,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12973977695167285,0,0.12374263706388763
21863,84,A & N Electric Coop,MD,Bundled,Cooperative,0.12973977695167285,0,0.12374263706388763
23345,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23347,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23313,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23310,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23316,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23443,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23395,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23404,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23405,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23401,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23408,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23409,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23488,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23486,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23482,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23480,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23483,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23407,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23336,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23337,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23429,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23426,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23427,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23420,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23421,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23422,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23423,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23308,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23301,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23303,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23302,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23307,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23306,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23389,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23357,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23354,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23350,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23415,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23414,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23417,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23416,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23410,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
23413,84,A & N Electric Coop,VA,Bundled,Cooperative,0.11273859717552952,0.09135171741250407,0.12027638828624525
